Id_answer,OwnerUserId_answer,CreationDate_answer,ParentId,Score_answer,Body_answer,Id_question,OwnerUserId_question,CreationDate_question,ClosedDate,Score_question,Title,Body_question
2052396,114672.0,2010-01-12 21:08:45+00:00,2052390,567,"
DON'T DO THIS. Raising a bare Exception is absolutely not the right thing to do; see Aaron Hall's excellent answer instead.

Can't get much more pythonic than this:
raise Exception(""I know python!"")

See the raise statement docs for python if you'd like more info.
",2052390,179736.0,2010-01-12 21:07:40+00:00,,797,Manually raising (throwing) an exception in Python,"How can I raise an exception in Python so that it can later be caught via an except block?
"
5468370,145190.0,2011-03-29 05:43:21+00:00,5468350,57,"The functions you define are defined in an onload function, so whereas before they were referenceable, because they are defined in that function they can only be referenced from within that function. You reference them as globals in your HTML. You have three options
a) ( easiest, quickest, not ideal ) - change function blah(){} to window.blah = function(){}; making the functions global.
b) ( ideal way ) - use unobtrusive Javascript to attach behaviour to DOM elements from within the JS solely, meaning separate HTML from JS. 
c) Make the jsfiddle not wrap the stuff onload. Change onLoad to no wrap ( body or head ).
So instead of <p onclick=""lol()"" id=""foo""> you'd do var e = document.getElementById('foo'); e.onclick = lol; in the JS only.
I recommend b as it encourages best practices.
",5468350,577455.0,2011-03-29 05:40:54+00:00,,46,JavaScript not running on jsfiddle.net,"The code below works on a live site but I can't get it to run on the site jsfiddle .
See this for example.
Can anyone tell me why it's not working on jsfiddle?
On the console it logs: ReferenceError: fillList is not defined and ReferenceError: mySelectList is not defined.
The code works as you can see when it's embedded here as snippet:


function BetterSelect(oSelList) {
  this.objSelectList = oSelList;
  this.objSelectList.onchange = this.selectionChanged;
}
BetterSelect.prototype.clear = function() {
  this.objSelectList.options.length = 0;
}
BetterSelect.prototype.fill = function(aValues) {
  this.clear();
  for (var i = 0; i < aValues.length; i++) {
    this.objSelectList.options[i] = new Option(aValues[i]);
  }
}
BetterSelect.prototype.find = function(strToFind, bSelect) {
  var indx = -1;
  this.objSelectList.options.selectedIndex = -1;
  for (var i = 0; i < this.getCount(); i++) {
    if (this.objSelectList.options[i].text == strToFind) {
      indx = i;
      if (bSelect)
        this.objSelectList.options.selectedIndex = i;
    }
  }
  return indx;
}
BetterSelect.prototype.getCount = function() {
  return this.objSelectList.options.length;
}
BetterSelect.prototype.selectionChanged = function() {
  alert(""selection changed!"");
}

var mySelectList = null;
window.onload = function() {
  mySelectList = new BetterSelect(document.getElementById('theList'));
}

function fillList() {
  mySelectList.fill([""one"", ""two"", ""three"", ""four"", ""five""]);
}

function findIt() {
  mySelectList.find(document.getElementById('txtToFind').value, true);
}
<form action="""" method=""post"">
  <select multiple=""multiple"" name=""Select1"" id=""theList"" style=""width: 152px; height: 226px"">
  </select>
  <br />
  <input name=""Button1"" type=""button"" value=""Fill The List"" onclick=""fillList()"" />
  <input name=""Button4"" onclick=""mySelectList.clear()"" type=""button"" value=""Clear The List"" />
  <br />
  <input name=""Button2"" onclick=""alert(mySelectList.getCount())"" type=""button"" value=""What's The Count?"" />
  <br />
  <input name=""Text1"" type=""text"" id=""txtToFind"" />
  <input name=""Button3"" type=""button"" value=""Search"" onclick=""findIt()"" />
</form>



"
7619186,230243.0,2011-10-01 08:45:30+00:00,6858260,163,"I've just been through the same problem and resolved it quite easily.
Through iTunes Connect the app has to be in the state of 'waiting for upload'. At first I thought 'prepare for upload' was sufficient but not so. Thus you need to go through the questions about have you changed encryption and how you want the new version released etc.
Once you've been through this section of Connect then the app is in the correct status of 'waiting for upload.' My validation of my app then just went straight through.
",6858260,737321.0,2011-07-28 11:34:48+00:00,,113,No suitable application records were found,"I created an App Store archive file. During validation it raises an error with the following message 

Please make sure that you have set up a record for this application on iTunes Connect.

"
11982622,1338292.0,2012-08-16 07:36:12+00:00,7225070,68,"One interesting way is by using array_keys():
foreach (array_keys($messages, 401, true) as $key) {
    unset($messages[$key]);
}

The array_keys() function takes two additional parameters to return only keys for a particular value and whether strict checking is required (i.e. using === for comparison).
This can also remove multiple array items with the same value (e.g. [1, 2, 3, 3, 4]).
",7225070,774018.0,2011-08-29 00:44:04+00:00,,427,PHP array delete by value (not key),"I have a PHP array as follows:
$messages = [312, 401, 1599, 3, ...];

I want to delete the element containing the value $del_val (for example, $del_val=401), but I don't know its key. This might help: each value can only be there once.
I'm looking for the simplest function to perform this task please.
"
7185460,541786.0,2011-08-25 05:17:54+00:00,7185440,72,"You need to implement pickerView:viewForRow:forComponent:reusingView: method in picker's delegate
- (UIView *)pickerView:(UIPickerView *)pickerView viewForRow:(NSInteger)row forComponent:(NSInteger)component reusingView:(UIView *)view{
    UILabel* tView = (UILabel*)view;
    if (!tView){
        tView = [[UILabel alloc] init];
            // Setup label properties - frame, font, colors etc
            ...
    }
    // Fill the label text here
    ...
    return tView;
}

",7185440,640733.0,2011-08-25 05:14:16+00:00,,31,How to change the Font size in UIPickerView?,"I have one UIPickerView. This is having nearly 200 items, each items has long texts, so, i want to resize the UIPickerView's font size. How can i change it? It is possible?
Can any one help me?  Thanks !
Yuva.M
"
9053008,348162.0,2012-01-29 12:01:29+00:00,4089430,247,"You can try:
git remote -v

It will print all your remotes' fetch/push URLs.
",4089430,18088.0,2010-11-03 16:47:46+00:00,,1567,How can I determine the URL that a local Git repository was originally cloned from?,"I pulled a project from GitHub a few days ago. I've since discovered that there are several forks on GitHub, and I neglected to note which one I took originally. How can I determine which of those forks I pulled?
"
23989911,444324.0,2014-06-02 08:07:02+00:00,23989910,84,"I solved it by extending SwipeRefreshLayout and overriding its onInterceptTouchEvent. Inside, I calculate if the X distance the user has wandered is bigger than the touch slop. If it does, it means the user is swiping horizontally, therefor I return false which lets the child view (the HorizontalScrollView in this case) to get the touch event.

public class CustomSwipeToRefresh extends SwipeRefreshLayout {

    private int mTouchSlop;
    private float mPrevX;

    public CustomSwipeToRefresh(Context context, AttributeSet attrs) {
        super(context, attrs);

        mTouchSlop = ViewConfiguration.get(context).getScaledTouchSlop();
    }

    @Override
    public boolean onInterceptTouchEvent(MotionEvent event) {

        switch (event.getAction()) {
            case MotionEvent.ACTION_DOWN:
                mPrevX = MotionEvent.obtain(event).getX();
                break;

            case MotionEvent.ACTION_MOVE:
                final float eventX = event.getX();
                float xDiff = Math.abs(eventX - mPrevX);

                if (xDiff > mTouchSlop) {
                    return false;
                }
        }

        return super.onInterceptTouchEvent(event);
    }
}

",23989910,444324.0,2014-06-02 08:07:02+00:00,,30,HorizontalScrollView inside SwipeRefreshLayout,"I implemented the new SwipeRefreshLayout component in my application and it works well with any vertical views, like ListView, GridView and ScrollView.
It behaves very bad with horizontal views, like HorizontalScrollView.
When scrolling to the right or left, the SwipeRefreshLayout view caches the touch, prevents the HorizontalScrollView from receiving it and starts scrolling vertically to perform the refresh.
I tried solving this issue as I previously solved issues with vertical ScrollView with ViewPager inside, using requestDisallowInterceptTouchEvent but it didn't work. I also noticed that this method is overridden in the original SwipeRefreshLayout class without returning the super. Google's developer left a comment instead ""//Nope."" :)
Because SwipeRefreshLayout component is relatively new, I couldn't find a solution that fixes the horizontal scroll issue while still allowing the swipe to refresh view to track and handle vertical scrolling so I thought I'll share my solution with hopes it will spare someone an hour or two.
"
20504821,1018720.0,2013-12-10 20:43:58+00:00,8818290,80,"The earlier answer works, but the solution can actually be simpler. Looping through the configured networks list is not required as you get the network id when you add the network through the WifiManager.
So the complete, simplified solution would look something like this:
WifiConfiguration wifiConfig = new WifiConfiguration();
wifiConfig.SSID = String.format(""\""%s\"""", ssid);
wifiConfig.preSharedKey = String.format(""\""%s\"""", key);

WifiManager wifiManager = (WifiManager)getSystemService(WIFI_SERVICE);
//remember id
int netId = wifiManager.addNetwork(wifiConfig);
wifiManager.disconnect();
wifiManager.enableNetwork(netId, true);
wifiManager.reconnect();

",8818290,1117338.0,2012-01-11 11:15:43+00:00,,154,How do I connect to a specific Wi-Fi network in Android programmatically?,"I want to design an app which shows a list of Wi-Fi networks available and connect to whichever network is selected by the user.
I have implemented the part showing the scan results. Now I want to connect to a particular network selected by the user from the list of scan results.
How do I do this?
"
28427373,544294.0,2015-02-10 08:47:57+00:00,18156240,108,"I've created an online Font Awesome Favicon Generator to do just that!
See Font Awesome Favicon Generator.
",18156240,1410654.0,2013-08-09 21:55:10+00:00,,46,Use Font Awesome Icon As Favicon,"Is it possible to use a Font Awesome icon as a favicon icon? You know, the little icon that appears along-side a website title in the browser tab?
"
2049362,157701.0,2010-01-12 13:55:02+00:00,2049230,59,"I've upvoted Johannes' answer because he's right about that.
* A few comments have been raised that my original answer was not correct.  It worked if alpha values were inverted from the normal.  By definition, however, this won't work in most cases.  I've therefore updated the formula below to be correct for the normal case.  This ends up being equal to @hkurabko's answer below *
A more specific answer, however, incorporates the alpha value into the actual colour result based on an opaque background colour (or 'matte' as it's referred to).
There is an algorithm for this (from this wikipedia link):

Normalise the RGBA values so that they're all between 0 and 1 - just divide each value by 255 to do this.  We'll call the result Source.
Normalise also the matte colour (black, white whatever).  We'll call the result BGColor Note - if the background colour is also transparent, then you'll have to recurse the process for that first (again, choosing a matte) to get the source RGB for this operation.
Now, the conversion is defined as (in complete psuedo code here!):
Source => Target = (BGColor + Source) =
Target.R = ((1 - Source.A) * BGColor.R) + (Source.A * Source.R)
Target.G = ((1 - Source.A) * BGColor.G) + (Source.A * Source.G)
Target.B = ((1 - Source.A) * BGColor.B) + (Source.A * Source.B)


To get the final 0-255 values for Target you simply multiply all the normalised values back up by 255, making sure you cap at 255 if any of the combined values exceed 1.0 (this is over-exposure and there are more complex algorithms dealing with this that involve whole-image processing etc.).
EDIT: In your question you said you want a white background - in that case just fix BGColor to 255,255,255.
",2049230,192767.0,2010-01-12 13:31:53+00:00,,49,Convert RGBA color to RGB,"How to convert a RGBA color tuple, example (96, 96, 96, 202), to corresponding RGB color tuple?
Edit:
What I want is to get a RGB value which is most similar to the RGBA tuple visually on white background.
"
8717783,357743.0,2012-01-03 19:48:33+00:00,8717740,84,"Github uses file extension to recognize file type. In order to use Markdown in your gist it should have appropriate .markdown (or .md) extension. See this.
",8717740,270835.0,2012-01-03 19:43:51+00:00,,43,Git gist - Markdown does not work,"I am not able to get Markdown work in a gist. My post is available here.
Notice that the same Markdown works when I add a comment.
What did I miss?
"
18460710,1831293.0,2013-08-27 08:35:44+00:00,18460580,120,"In the absence of synchronization this code
Object a;

public boolean test() {
    return a != a;
}

may produce true. This is the bytecode for test()
    ALOAD 0
    GETFIELD test/Test1.a : Ljava/lang/Object;
    ALOAD 0
    GETFIELD test/Test1.a : Ljava/lang/Object;
    IF_ACMPEQ L1
...

as we  can see it loads field a to local vars twice, it's a non-atomic operation, if a was changed in between by another thread comparison may produce false. 
Also, memory visibility problem is relevant here, there is no guarantee that changes to a made by another thread will be visible to the current thread.
",18460580,1719067.0,2013-08-27 08:27:56+00:00,,139,Is the != check thread safe?,"I know that compound operations such as i++ are not thread safe as they involve multiple operations. 
But is checking the reference with itself a thread safe operation?
a != a //is this thread-safe

I tried to program this and use multiple threads but it didn't fail. I guess I could not simulate race on my machine.
EDIT:
public class TestThreadSafety {
    private Object a = new Object();

    public static void main(String[] args) {

        final TestThreadSafety instance = new TestThreadSafety();

        Thread testingReferenceThread = new Thread(new Runnable() {

            @Override
            public void run() {
                long countOfIterations = 0L;
                while(true){
                    boolean flag = instance.a != instance.a;
                    if(flag)
                        System.out.println(countOfIterations + "":"" + flag);

                    countOfIterations++;
                }
            }
        });

        Thread updatingReferenceThread = new Thread(new Runnable() {

            @Override
            public void run() {
                while(true){
                    instance.a = new Object();
                }
            }
        });

        testingReferenceThread.start();
        updatingReferenceThread.start();
    }

}

This is the program that I am using to test the thread-safety.
Weird behavior
As my program starts between some iterations I get the output flag value, which means that the reference != check fails on the same reference. BUT after some iterations the output becomes constant value false and then executing the program for a long long time does not generate a single true output.
As the output suggests after some n (not fixed) iterations the output seems to be constant value and does not change. 
Output:
For some iterations:
1494:true
1495:true
1496:true
19970:true
19972:true
19974:true
//after this there is not a single instance when the condition becomes true

"
9575869,772035.0,2012-03-05 23:46:23+00:00,9575790,207,"var milliseconds = (new Date).getTime();

",9575790,1004278.0,2012-03-05 23:37:50+00:00,2012-03-05 23:46:55+00:00,100,How to get time in milliseconds since the unix epoch in Javascript?,"
Possible Duplicate:
How do you get a timestamp in JavaScript?
Calculating milliseconds from epoch 

How can I get the current epoch time in Javascript?  Basically the number of milliseconds since midnight, 1970-01-01.
"
682282,22459.0,2009-03-25 16:03:32+00:00,682260,69,"There's a JSON section in the PHP's documentation. You'll need PHP 5.2.0 though.

As of PHP 5.2.0, the JSON extension is bundled and compiled into PHP by default.

If you don't, here's the PECL library you can install.
<?php
    $arr = array ('a'=>1,'b'=>2,'c'=>3,'d'=>4,'e'=>5);

    echo json_encode($arr); // {""a"":1,""b"":2,""c"":3,""d"":4,""e"":5}
?>

",682260,78026.0,2009-03-25 16:00:47+00:00,,88,Returning JSON from PHP to JavaScript?,"I have a PHP script that's being called through jQuery AJAX. I want the PHP script to return the data in JSON format to the javascript. Here's the pseudo code in the PHP script:
$json = ""{"";
foreach($result as $addr)
{
    foreach($addr as $line)
    {
    	$json .= $line . ""\n"";
    }
    $json .= ""\n\n"";
}
$json .= ""}"";

Basically, I need the results of the two for loops to be inserted in $json.
"
5299030,345708.0,2011-03-14 13:14:26+00:00,5298910,68,"I believe this will work:
_projmenuItem_Edit = new RelayCommand<object>((txt)=>ProjEditNode(txt));

-- EDIT --
You'll need to define your RelayCommand with the type as well:
e.g. 
public RelayCommand<string> myCommand { get; private set; }
myCommand = new RelayCommand<string>((s) => Test(s));

private void Test(string s)
{
    throw new NotImplementedException();
}

",5298910,564636.0,2011-03-14 13:02:22+00:00,,37,MVVM Light RelayCommand Parameters,"I'm having an issue with passing a parameter to a relaycommand using the GalaSoft MVVM Light framework.  I know that mvvm light's implementation of relaycommand doesn't use lambda parameters, so I did some research and found a way that people worked around it by doing something like this:
public RelayCommand ProjMenuItem_Edit
{
    get
    {
        if (_projmenuItem_Edit == null)
        {
            //This should work....
            _projmenuItem_Edit = new RelayCommand(ProjEditNode);
        }
        return _projmenuItem_Edit;
    }
}

private void ProjEditNode(object newText)
{
    var str = newText as string;
    OrganLocationViewModel sel = 
        ProjectOrganLocationView.GetExtendedTreeView().GetTopNode();

    //Console.WriteLine(sel.OrganDisplayName);
    sel.OrganDisplayName = str;
}

However, I keep getting an error on the line _projmenuItem_Edit = new RelayCommand(ProjEditNode); that says Argument 1: cannot convert from 'method group' to 'System.Action'
What am I missing? 
"
620831,68127.0,2009-03-06 23:10:07+00:00,620610,66,"You don't need to commit, you just need to flush.  Here's some sample code.  After the call to flush you can access the primary key that was assigned.  Note this is with SA 0.4.8.
from sqlalchemy import *
from sqlalchemy.databases.mysql import *
import sqlalchemy.ext.declarative

Base = sqlalchemy.ext.declarative.declarative_base()

class User(Base):
    __tablename__ = 'user'
    user_id = Column('user_id', Integer, primary_key=True)
    name = Column('name', String)

if __name__ == '__main__':
    import unittest
    from sqlalchemy.orm import *
    import datetime

    class Blah(unittest.TestCase):
        def setUp(self):
            self.engine = create_engine('sqlite:///:memory:', echo=True)
            self.sessionmaker = scoped_session(sessionmaker(bind=self.engine))
            Base.metadata.bind = self.engine
            Base.metadata.create_all()
            self.now = datetime.datetime.now()

        def test_pkid(self):
            user = User(name=""Joe"")
            session = self.sessionmaker()
            session.save(user)
            session.flush()
            print 'user_id', user.user_id
            session.commit()
            session.close()

    unittest.main()

",620610,,2009-03-06 22:07:19+00:00,,32,SQLAlchemy Obtain Primary Key With Autoincrement Before Commit,"When I have created a table with an auto-incrementing primary key, is there a way to obtain what the primary key would be (that is, do something like reserve the primary key) without actually committing?
I would like to place two operations inside a transaction however one of the operations will depend on what primary key was assigned in the previous operation.
"
2694934,893.0,2010-04-22 22:19:06+00:00,2694900,54,"On my Windows install of Subversion, there is a file in 

Windows Vista/7: C:\Users\<username>\AppData\Roaming\Subversion
Windows XP: c:\Documents and Settings\<username>\.subversion\config

that contains a global configuration for Subversion (your location may vary). In the [miscellany] section is a global-ignores parameter which you can use to set up globally ignored filename patterns.
The Runtime Configuration Area section of the Subversion book has more information, including how to set up such global configuration parameters in the registry if you need to.
",2694900,91.0,2010-04-22 22:12:23+00:00,,50,Is there a concept of global ignores in svn?,"Is there a way to setup a global list of Ignores for a SVN Repository or for the SVN Client on the PC?
The only reason I'm using tools like Tortoise/Ankh/VisualSVN is because I want to only check in the files I need without all the bin/obj/Resharper stuff.
I'm spoiled by .gitignore and .hgignore which I just copy to a repository and then use git commit -a without having to care about checking in junk.
I know I can manually set it, but that's tedious to do and I think it had to be applied to every new folder that gets created as well.
Using SVN under Windows.
"
